match_id,minute,gold_adv,xp_adv,duration_min,radiant_win
8780111466,7,2279,2128,49.766666666666666,1
8780111466,8,2433,1867,49.766666666666666,1
8780111466,9,2236,528,49.766666666666666,1
8780111466,10,2730,649,49.766666666666666,1
8780111466,11,3167,1005,49.766666666666666,1
8780111466,12,3292,1864,49.766666666666666,1
8780111466,13,1589,-784,49.766666666666666,1
8780111466,14,665,-1131,49.766666666666666,1
8780111466,15,793,1388,49.766666666666666,1
8780111466,16,1116,1146,49.766666666666666,1
8780111466,17,235,551,49.766666666666666,1
8780111466,18,-431,-182,49.766666666666666,1
8780111466,19,146,914,49.766666666666666,1
8780111466,20,311,1540,49.766666666666666,1
8780111466,21,-749,-1235,49.766666666666666,1
8780111466,22,-67,-1371,49.766666666666666,1
8780111466,23,1018,-174,49.766666666666666,1
8780111466,24,689,-464,49.766666666666666,1
8780111466,25,1028,-1126,49.766666666666666,1
8780111466,26,1956,554,49.766666666666666,1
8780111466,27,1449,-925,49.766666666666666,1
8780111466,28,19,-2674,49.766666666666666,1
8780111466,29,67,-327,49.766666666666666,1
8780111466,30,324,-2215,49.766666666666666,1
8780111466,31,-3692,-9913,49.766666666666666,1
8780111466,32,-5213,-10756,49.766666666666666,1
8780111466,33,-5312,-10670,49.766666666666666,1
8780111466,34,-5424,-11784,49.766666666666666,1
8780111466,35,-6026,-13500,49.766666666666666,1
8780111466,36,-6062,-10828,49.766666666666666,1
8780111466,37,-5720,-8131,49.766666666666666,1
8780111466,38,-5246,-8749,49.766666666666666,1
8780111466,39,-5540,-9448,49.766666666666666,1
8780111466,40,-5927,-8337,49.766666666666666,1
8780111466,41,-4440,-6250,49.766666666666666,1
8780111466,42,5,4571,49.766666666666666,1
8780111466,43,2454,5616,49.766666666666666,1
8780111466,44,2771,4056,49.766666666666666,1
8780111466,45,2130,3417,49.766666666666666,1
8780111466,46,2798,3089,49.766666666666666,1
8780111466,47,10073,20942,49.766666666666666,1
8780111466,48,16612,25198,49.766666666666666,1
8780111466,49,19737,27668,49.766666666666666,1
8780105771,0,0,0,32.36666666666667,1
8780105771,1,831,146,32.36666666666667,1
8780105771,2,713,225,32.36666666666667,1
8780105771,3,1166,674,32.36666666666667,1
8780105771,4,569,245,32.36666666666667,1
8780105771,5,712,487,32.36666666666667,1
8780105771,6,-46,32,32.36666666666667,1
8780105771,7,737,947,32.36666666666667,1
8780105771,8,1422,1213,32.36666666666667,1
8780105771,9,2013,2757,32.36666666666667,1
8780105771,10,1611,2307,32.36666666666667,1
8780105771,11,1583,1298,32.36666666666667,1
8780105771,12,2977,1627,32.36666666666667,1
8780105771,13,2709,2102,32.36666666666667,1
8780105771,14,2168,1669,32.36666666666667,1
8780105771,15,1307,753,32.36666666666667,1
8780105771,16,1239,1403,32.36666666666667,1
8780105771,17,878,1256,32.36666666666667,1
8780105771,18,-5,-788,32.36666666666667,1
8780105771,19,-2147,-3202,32.36666666666667,1
8780105771,20,-3738,-5748,32.36666666666667,1
8780105771,21,-3602,-7560,32.36666666666667,1
8780105771,22,-2120,-4749,32.36666666666667,1
8780105771,23,2827,3075,32.36666666666667,1
8780105771,24,2500,-1371,32.36666666666667,1
8780105771,25,1481,-532,32.36666666666667,1
8780105771,26,-1518,-7472,32.36666666666667,1
8780105771,27,-4583,-9023,32.36666666666667,1
8780105771,28,-419,719,32.36666666666667,1
8780105771,29,-559,-697,32.36666666666667,1
8780105771,30,-1303,1273,32.36666666666667,1
8780105771,31,2290,13350,32.36666666666667,1
8780105771,32,4994,16213,32.36666666666667,1
8780102418,0,0,0,51.333333333333336,0
8780102418,1,-138,-123,51.333333333333336,0
8780102418,2,-582,16,51.333333333333336,0
8780102418,3,-858,-165,51.333333333333336,0
8780102418,4,-509,-165,51.333333333333336,0
8780102418,5,-1064,-848,51.333333333333336,0
8780102418,6,-1410,-980,51.333333333333336,0
8780102418,7,-1680,-877,51.333333333333336,0
8780102418,8,-1746,-877,51.333333333333336,0
8780102418,9,-1854,-1339,51.333333333333336,0
8780102418,10,-332,-781,51.333333333333336,0
8780102418,11,1268,782,51.333333333333336,0
8780102418,12,1692,150,51.333333333333336,0
8780102418,13,2230,1114,51.333333333333336,0
8780102418,14,2716,1850,51.333333333333336,0
8780102418,15,2084,-75,51.333333333333336,0
